country,iso,year,estimate,low,high,var
Brazil,BRA,2012,44.00490501,38.00423614,51.00568535,inc_all
Brazil,BRA,2013,44.12017668,38.17138881,51.06042919,inc_all
Brazil,BRA,2014,43.25181922,37.35384387,49.64129251,inc_all
Brazil,BRA,2015,42.400098,36.55180862,48.73574483,inc_all
Brazil,BRA,2016,42.54093567,36.73989899,48.82539207,inc_all
Brazil,BRA,2017,44.12365058,37.88878691,50.83811915,inc_all
Brazil,BRA,2018,45.67804954,39.01666731,52.81524477,inc_all
Brazil,BRA,2019,45.32944349,38.71889965,52.41216903,inc_all
Brazil,BRA,2022,49,42,56,inc_all
Brazil,BRA,2015,1.267129365,0.584828938,1.949429793,inc_mdr
Brazil,BRA,2016,1.305233253,0.483419723,2.078704811,inc_mdr
Brazil,BRA,2017,1.390854203,0.441236506,2.302103509,inc_mdr
Brazil,BRA,2018,1.427439048,0.371134152,2.521808985,inc_mdr
Brazil,BRA,2019,1.463763279,0.288030839,2.644217537,inc_mdr
Brazil,BRA,2015,5.360931931,4.824838738,6.335646827,inc_tbhiv
Brazil,BRA,2016,5.317616958,4.592487373,6.284456405,inc_tbhiv
Brazil,BRA,2017,5.275653874,4.556246528,6.234863669,inc_tbhiv
Brazil,BRA,2018,5.233943176,4.377479747,6.185569208,inc_tbhiv
Brazil,BRA,2019,5.193998733,4.249635327,5.666180436,inc_tbhiv
Brazil,BRA,2022,8.9,7.2,11,inc_tbhiv
Brazil,BRA,2012,2.550284267,2.500278694,2.650295415,mort_tbhn
Brazil,BRA,2013,2.627381308,2.577808076,2.726527772,mort_tbhn
Brazil,BRA,2014,2.506639523,2.408339934,2.604939112,mort_tbhn
Brazil,BRA,2015,2.582994476,2.485522986,2.631730221,mort_tbhn
Brazil,BRA,2016,2.46544059,2.368756645,2.562124535,mort_tbhn
Brazil,BRA,2017,2.493945468,2.398024488,2.541905958,mort_tbhn
Brazil,BRA,2018,2.474227683,2.37906508,2.569390286,mort_tbhn
Brazil,BRA,2019,2.455344856,2.360908515,2.549781196,mort_tbhn
Brazil,BRA,2022,3.4,3.2,3.5,mort_tbhn
Brazil,BRA,2012,1.300144921,0.90010033,1.800200659,mort_tbhiv
Brazil,BRA,2013,1.239330806,0.89231818,1.685489896,mort_tbhiv
Brazil,BRA,2014,1.17959507,0.835546508,1.621943221,mort_tbhiv
Brazil,BRA,2015,1.023450641,0.682300428,1.364600855,mort_tbhiv
Brazil,BRA,2016,0.966839447,0.676787613,1.305233253,mort_tbhiv
Brazil,BRA,2017,0.959209795,0.671446857,1.294933224,mort_tbhiv
Brazil,BRA,2018,0.90404473,0.618556921,1.18953254,mort_tbhiv
Brazil,BRA,2019,0.849927065,0.566618044,1.133236087,mort_tbhiv
Brazil,BRA,2022,1.8,1.2,2.6,mort_tbhiv
Brazil,BRA,2012,38.25026357,33.03431853,44.33553277,notif
Brazil,BRA,2013,38.37017747,33.1966704,44.40593573,notif
Brazil,BRA,2014,37.33565826,32.24443214,42.85115323,notif
Brazil,BRA,2015,36.84714723,31.7647821,42.3530428,notif
Brazil,BRA,2016,36.88395806,31.85432742,42.3327246,notif
Brazil,BRA,2017,38.44416939,33.0118411,44.29436907,notif
Brazil,BRA,2018,40.49549397,34.5899011,46.82291491,notif
Brazil,BRA,2019,40.38239579,34.4932964,46.69214513,notif
Brazil,BRA,2022,0.836734694,0.732142857,0.976190476,txcov
Georgia,GEO,2012,118.2854601,84.11410499,157.7139469,inc_all
Georgia,GEO,2013,116.2169379,71.31493919,169.0428188,inc_all
Georgia,GEO,2014,105.981742,71.53767585,145.7248952,inc_all
Georgia,GEO,2015,98.11377592,74.24826286,127.2827363,inc_all
Georgia,GEO,2016,92.81087001,74.24869601,114.0247832,inc_all
Georgia,GEO,2017,84.83788011,68.93077759,103.3961664,inc_all
Georgia,GEO,2018,79.52655193,66.27212661,95.43186231,inc_all
Georgia,GEO,2019,74.25458343,60.99483639,87.51433047,inc_all
Georgia,GEO,2022,60,42,73,inc_all
Georgia,GEO,2015,15.91034204,11.4024118,20.41827229,inc_mdr
Georgia,GEO,2016,14.8497392,11.40247832,18.29700009,inc_mdr
Georgia,GEO,2017,14.05127389,10.86985339,16.96757602,inc_mdr
Georgia,GEO,2018,12.98933681,10.33845175,15.90531039,inc_mdr
Georgia,GEO,2019,12.19896728,9.81221281,14.58572175,inc_mdr
Georgia,GEO,2012,3.679992093,1.235425917,7.097127608,inc_tbhiv
Georgia,GEO,2013,2.324338759,1.347059962,3.697811661,inc_tbhiv
Georgia,GEO,2014,2.331598324,1.430753517,3.444406615,inc_tbhiv
Georgia,GEO,2015,2.916896041,1.909241045,3.712413143,inc_tbhiv
Georgia,GEO,2016,1.962286966,1.378904354,2.651739143,inc_tbhiv
Georgia,GEO,2017,1.51117474,1.007449826,2.094435165,inc_tbhiv
Georgia,GEO,2018,1.64354874,1.139880578,2.253252305,inc_tbhiv
Georgia,GEO,2019,1.325974704,0.875143305,1.856364586,inc_tbhiv
Georgia,GEO,2022,1.7,1.1,2.4,inc_tbhiv
Georgia,GEO,2012,5.782844718,5.257131562,6.045701296,mort_tbhn
Georgia,GEO,2013,5.018458683,4.754329279,5.546717492,mort_tbhn
Georgia,GEO,2014,4.504224035,4.23926968,5.034132745,mort_tbhn
Georgia,GEO,2015,3.97758551,3.712413143,4.242757877,mort_tbhn
Georgia,GEO,2016,4.507956543,3.977608715,4.773130458,mort_tbhn
Georgia,GEO,2017,4.241894006,3.711657255,4.507012381,mort_tbhn
Georgia,GEO,2018,3.976327596,3.71123909,4.241416103,mort_tbhn
Georgia,GEO,2019,3.712729172,3.447534231,4.243119053,mort_tbhn
Georgia,GEO,2022,1.8,1.4,2.3,mort_tbhn
Georgia,GEO,2012,0.394284867,0.210285262,0.578284472,mort_tbhiv
Georgia,GEO,2013,0.60749763,0.396194107,0.871627034,mort_tbhiv
Georgia,GEO,2014,0.582899581,0.397431532,0.8213585,mort_tbhiv
Georgia,GEO,2015,0.609896445,0.424275788,0.822034339,mort_tbhiv
Georgia,GEO,2016,0.397760871,0.265173914,0.55686522,mort_tbhiv
Georgia,GEO,2017,0.371165725,0.238606538,0.530236751,mort_tbhiv
Georgia,GEO,2018,0.42414161,0.291597357,0.609703565,mort_tbhiv
Georgia,GEO,2019,0.344753423,0.212155953,0.503870388,mort_tbhiv
Georgia,GEO,2022,0.53,0.34,0.77,mort_tbhiv
Georgia,GEO,2012,103.5654918,73.64657192,138.0873224,notif
Georgia,GEO,2013,90.70203747,55.65806845,131.9302363,notif
Georgia,GEO,2014,84.7853936,57.23014068,116.5799162,notif
Georgia,GEO,2015,83.58233019,63.25149311,108.4311311,notif
Georgia,GEO,2016,79.10137864,63.28110291,97.18169376,notif
Georgia,GEO,2017,68.85124208,55.94163419,83.91245128,notif
Georgia,GEO,2018,61.39449809,51.16208174,73.67339771,notif
Georgia,GEO,2019,57.52078266,47.24921433,67.792351,notif
Georgia,GEO,2022,0.66,0.54,0.83,txcov
India,IND,2012,276.9741398,120.8329108,495.885712,inc_all
